tweets,location
Whats up with the advertising in the L in   Having some business problems?   ,London
  Europe has a different take on privacy...   says it could be a commercial differentiator ,"London, United Kingdom"
Europe has a different take on privacy...   says it could be a commercial differentiator   ,London
One of my clients asked what I thought about the whole   thing. Here are my thoughts!        ,"Denver, CO"
"Half-empty: The  was no small event -- But the odds that such a breach will be the last are slim in our increasingly techie world. Up next:  

Half-full: Better tools/tactics will better protect + allow us to better tolerate.
 ","Waterloo, Ontario"
"  ICYMI: In my latest piece, cybersecurity expert,  weighs in on the  data breach and how this has the","Dayton, OH"
"   CEO warns users, investors of more data leaks 

    ","Dallas, TX"
"  ICIT Analysis: ""Facebook Poses a Massive Risk to National Security: But Its Worse than You Think""

","Fremont, CA"
  Presiam will bring cryptocurrency into the mainstream via the Presiam Social Community App! It's time for the app to pay yo,"Gainesville, Florida"
"Facebook discrimates against conservative black and latino women.

 ",USA
"          
Facebook founded on same day that the USG killed  ","The Motor Motel Route 68, USA"
yes! and   ONLY 1year to lose 50 million! ,"England, United Kingdom"
"  Get behind Howdoo. The ideal replacement for the now untrusted Facebook.
   ",
  Has your data been used without your permission by  You might be able to claim a lot of money... ,"Bristol, UK"
Has your data been used without your permission by  You might be able to claim a lot of money...    ,"Bristol, England"
    from           ht,"Ptuj, Slovenia"
"You could claim hundreds or even thousands of pounds   
","Bristol, UK"
"I intend to delete my Facebook account today. Inconvenient because I run two, closed family history groups, but I don't wish to support subversion.   ",EUROPEAN UNION
"""Personal  is the new currency of the internet, and those who dont protect it like the valuable asset it is may breach their patrons trust in a way thats irreparable.""      ","New York, NY"
Everything You Need to Know About Facebook and Cambridge Analytica  via   ,Illinois
"Not just   also sold data to Cambridge Analytica researcher: Report

   ",India
" Everything in this world has its own positives and negatives. Its important to demilitarize AI. Similar importance were there when Facebook YouTube Google and other started evolving, where r we now?
  &amp; Google-US Drones","New Delhi, India"
Facebook getting freakier or nah?             ,"Amsterdam, The Netherlands"
"  fans,  managing director of Analytic Decisions, talks about the  &amp; why it should concern you starting at the 8:49 mark of the show  She's also the author of ""Check Your Connections"" ","Montreal, Canada"
" managing director of Analytic Decisions, is on  to talk about the  &amp; why it should concern you.  She's also the author of ""Check Your Connections""  Also heard on   ","Montreal, Canada"
"Don't let your personal information get into the wrong hands!! 
     ",India
  Today is seen as a bad day for one of the largest public traded company $FB    an,
"  Amitav Bhattacharjee

Unlock The Data Breach Facts...
    ","Hyderabad, India"
"Amitav Bhattacharjee

Unlock The Data Breach Facts...
              #     ","Seattle, WA"
  The action by facebook on moderation still doesnt address the main problem of selling data. This doesnt change their bas,Belgium
  In today's  - why your opinion is a valuable thing!   ,Sydney 
In today's  - why your opinion is a valuable thing!     ,"Sydney, Australia"
"  [ ]
Unlock The Data Breach Facts...

      ","Atlanta, GA"
Steve Jobs Warned Us About Facebook       ,West Midlands UK
  5 Lessons Companies Can Learn From Facebook's Data Privacy   by  ,"New York, NY"
       Don't leave your valuables in your hotel room. ,"Seattle, WA"
   says they dont use your phones microphone. I call bullshit    ,
Facebook is dropping key advertising tools  heres how you adapt      ,Getting Lost 
" CEO warns users, investors of more data leaks 

                 ","Varanasi, India"
"  Senators Introduce Bill Regulating Facebook, Google And Other Big Tech Companies That Collect Personal Data
","Fredericksburg, TX"
What the Facebook Cambridge Analytica Scandal Means for Online Marketers     ,"Scottsdale, AZ"
"[ ]
Unlock The Data Breach Facts...

                    co ","Denver, CO"
"Trust after  is down; main action is nothing, followed by resetting privacy settings, followed by  ",Canada
 cut me off cuz I called  a poodle&amp; her voice sounds like nails on a chalkboard. seriously you'll be hearing from my lawyer I'm already suing  now I'm suing U   proud of u  I have every screengrab,
  more to be announced...   ,France
"Facebook privacy drive may crimp some political campaigns..making it harder to deliver highly targeted, personal political messages.   ",India
"   At  Made Mistakes Along The Way.""

 Was NO Mistake! He Doesn't Care About Data Pr",
  Turn off Facebook's facial recognition feature in 5 easy steps:  |  ,"Phoenix, AZ"
"Unlock The Data Breach Facts...

              #        ht ","Alpharetta, GA"
"  Distrust and caution are parents of security.
   ",Somewhere around this world
"Stop  from using your  info: A  




",india
Turn off Facebook's facial recognition feature in 5 easy steps:  |       ,"Phoenix, AZ"
Is your data ever safe? Guess whos more dangerous than Facebook!  $FB $GOOGL $GOOG   ,"Bay Area, California"
"Cong should move quickly to give Americans privacy protections that are at least as strong as those in the EU. 

","Toronto, Ontario"
  Cambridge Analytica prof wants you to know he's not a bad guy  via  ht  ,Toronto
  Survey: Only 7 percent of businesses GDPR-compliant as deadline looms     ,"Hillingdon, London"
"  Good show   
 
    ","Mumbai, India"
"Good show   
 
     
      ",India
Got a sponsored post on  from  while I already am a subscriber. Makes me wonder how come  doesn't have this information about me yet! ,"Doha, Qatar"
Cambridge Analytica prof wants you to know he's not a bad guy  via  ht          ,Everywhere
"  ICIT Analysis: ""Facebook Poses a Massive Risk to National Security: But Its Worse than You Think""  
htt","Greenville, SC"
"    : Im sorry.  
 : Yeah, that doesnt work here. 
   : Im sorry. 

","Williamsburg, VA"
"Deleting your  won't stop it from tracking you    
","Chicago, IL"
"  ICIT Analysis: ""Facebook Poses a Massive Risk to National Security: But Its Worse than You Think""
 ","Joliet, IL"
How concerned are you with the  scandal and how your information was impacted?,"Toronto, Ontario"
  Here a few other people can research      all stuff to look a,
"ICIT Analysis: ""Facebook Poses a Massive Risk to National Security: But Its Worse than You Think""  

       ","Palmdale, CA"
"ICIT Analysis: ""Facebook Poses a Massive Risk to National Security: But Its Worse than You Think""

  
       ","Boston, MA"
"ICIT Analysis: ""Facebook Poses a Massive Risk to National Security: But Its Worse than You Think""
   

     ","Washington, DC"
"  So many people may not know it, but the people's mind is controlled in a way now that they give up their own information volu",Deutschland
Hilarious and about as informative as the actual hearing.   ,
"  3/3 Invasive     breaches future   may use
Au","Toronto, Ontario"
  Could your school survive a congressional hearing on student privacy?    htt,Worldwide
"   shines a little light on shadow profiles 

    ","Dallas, TX"
"Someone should tell  that ""pay it forward day"" shouldn't be about someone else's personal data. ",
"  want a   that PAYS YOU 2 interact?

THERE IS 1 &amp; its poised 2 take over 
JOIN-
",
"If youre a  user, this story is a must-read. We explain what puts your privacy and data at risk and what you can do about it.   ",#babyboomers
Could your school survive a congressional hearing on student privacy?    ,"Cincinnati, OH"
   Apparently buyers or sellers on FB market can report your item as a aninal or weapon when it's not (it's a coin) and facebook without checking automatically remove your listen and then you have to appeal. This is really disgusting,"London, England"
" Let me tell you a story then.
Do you know what they're paying for a  traineeship in  
Let's say, for any 
&gt;&gt; 3,75/hour &lt;&lt;
There.
            ",
 might finally make  care about       via ,Global Citizen
"Get behind Howdoo. The ideal replacement for the now untrusted Facebook.
    
   ",Melbourne
  A new study shows just how terrible  is at telling you how it uses your data            ,look around may be i am there
  What  knows about you     ,Zürich / Engelberg / London
  1/3    show us how easily democracy &amp;  get Sabotaged.I hope the perp,"New York, NY"
       are three projects for me that ACTUALLY will help the community and get more,
"  Facebook warns users and investors about more data leak incidents
 ",King's College london
"  Facebook warns users and investors about more data leak incidents

    ",
"Facebook warns users and investors about more data leak incidents
 ",Your Horror Dream
"Facebook warns users and investors about more data leak incidents

    ",India
"     
   
I support Howdoo, hav",
"  In a world that has lost its faith in social media, there is another option.
  ",
     time for  ,
 new  policy      ,"Chicago, IL"
Is it time to switch over from Facebook?  wait twitter have gifs? Im sold.  ,Aberdeen
" admits it did not read terms of the app that collected data of 87 million.   
","Houston, TX"
"  A social network for ""Alternative Minds"". Get paid in  just for being active. And no need to worry about data b","Hyderabad, India"
"A social network for ""Alternative Minds"". Get paid in  just for being active. And no need to worry about data breaches!          ",Nebraska
"What assurances can you give parents that their child's data, images and info are safe?    ","Cincinnati, OH"
Does your business need to be sharing all of the data youre sharing with third parties? Do you have explicit terms with your partners about how theyre allowed to use your data?    ,"Glastonbury, CT"
   refuses to testify in from of  in regards to the recent allegations of data privacy on ,
So. Dam. Good.      Thanks ,U.S.
Is this a  hack? My language settings changed w/o me and I cant read it to fix it  ? ,USA
        Keep your freedom of speech on social media when you join us at ,California USA
"     To the Luciferian Jews that run  ""BAKE THAT CAKE""!!!
  ","Wellington, South Africa"
"And they even paid Jane Fonda for a petition
 

      
      ",India
HAPPY FRIDAY! ENJOY!     ,CANADA
"  Ahem.  Facebook did not read the terms and services of the app that improperly shared user data with Cambridge Analytica, th","Pontiac, Quebec, Canada"
  From today's    ,
"The Facebook Data effect --&gt; My inbox is flooded with emails from brands: ""We've updated our privacy policy...."" ","Detroit, MI"
"Yup! Slimy SWAMP THANGS, LURKIN, &amp; HIDIN,           ",United States
  Everyone effected by the Facebook data breach should get in contact ASAP. Details below. This is your data; claim your rights,
"  Seems like  is controlled by robots.

    ",
"  ....and sold your data. 

      ",
  Interesting  fact     ,
  . concealed the truth of what it knew about  lawmaker claims.   ,
  [ANNOUNCEMENT] I cease to use Facebook in a protest. Mike won't be upset if I will answer 5 minutes later to his FB message.,"Arkansas, USA"
"  Think about this question- How safe is our privacy in this world of social media?
 
",New Delhi
"  "" GDPR and  concerns wont hurt growth - Digiday""      ",Dakar/Sénégal
No meaningful change at  as sales soar after   via ,"#Melbourne, VIC, Australia"
  The Security Risks of Logging in With Facebook   via   ,
Despite the  Facebook's profits keep rising:  ,"London, England"
"     are three projects for me that ACTUALLY will help the community and get more people involved in crypto. Keep your data YOUR data with HowDoo, unlike  Travelblock  on the   bought with ","Liverpool, England"
   time for  ,Earth
"Everything you need to know about the  
  
",Baku Azer
"In a world that has lost its faith in social media, there is another option.
     ",Melbourne
"Facebook CTO acknowledged it was a ""mistake"" to not inform users immediately after their data were compromised. Do you still have faith in  

Share Your Opinion about  &amp; Win $500 Cash
&gt;&gt;&gt;  ",
The five main points summarised from when Facebook's Mike Schroepfer recently faced MPs.  ,
"   
   
I support Howdoo, have invested and believe they are a real competitor which will offer the security features we are all looking for. ",Melbourne
