tweets,location,category,latitude,longitude
"  Another reason to boycott  and 
It actively fought (covertly as usual) for  
h","Buenos Aires, Argentina",negative,-34.6075616,-58.437076
"There is no opt out...
  ","Stockholm, with a SkÃ¥ne heart",negative,NA,NA
  There they go again being menaces to society!  ,United States,negative,39.7837304,-100.4458825
 sucks.   ,Same Place as Yesterday ,negative,NA,NA
"  Our  protests are live in Washington DC, San Francisco, Atlanta, and Austin. We believe privacy is a civ",Outer Rim,negative,28.414533,-81.574291
Social Media Advertising In the  Movement  ,"Salt Lake City, UT",negative,40.7670126,-111.8904308
"  How does Facebook track users when theyre not on Facebook?

     ","Sarasota, FL Born in Nottm, UK",negative,NA,NA
Oh so theyre still ducking out on paying their taxes AND conspiring to screw us out of our privacy  ,Wakanda Forever ,negative,NA,NA
 lets become real  ,KA03 & MH15,negative,NA,NA
"  Sooo...this hearing will be totally legit. 

Facebook Gave Money To 85% Of House Committee Questioning Zuckerberg Nex",PlanetEarth,negative,NA,NA
Sign up for The League dating app with me!                 ,"Philadelphia, PA/Jacksonville, FL â�„ï¸�ðŸ�¦",negative,NA,NA
"After  and  experience,  comes up with this new tab that attracts the users to connect with  owner and it's sister and baby companies. 

Arey they looking for more followers?  ",Ahmedabad,positive,23.0216238,72.5797068
"      She'll swing when it ALL comes out :-) 
  ","Minnesota, USA",positive,45.9896587,-94.6113288
Just had a legitimate 1 star food experience at a restaurant in NYC with 4.5 stars and 121 reviews on  what is this world coming to?     ,"New Jersey, USA",negative,40.0757384,-74.4041622
There they go again being menaces to society!  ,Southern California,negative,34.0224149,-118.286344073446
"  Following the  news, many are opting to  in favor of Instagram, without realizing that th",in the now ~ USA ðŸ‡ºðŸ‡¸,positive,NA,NA
Deleting your Facebook account won't keep it from tracking you: The  ,america,negative,-27.4351024,-59.0017622330522
"As someone who has successfully run online campaigns using Facebook, I know that Facebook addiction (dopamine) is real and similar to gambling addiction.  ",Northwest Saskatchewan,positive,55.5321257,-106.1412243
"Another reason to boycott  and 
It actively fought (covertly as usual) for  

 ",North Pole,negative,64.750997,-147.349319
"   &amp;  are censoring   
Just discovered follower and one of best conservative cartoonists in the","Iowa, USA",positive,41.9216734,-93.3122705
"  Exclusive: Facebook to put 1.5 billion users out of reach of new EU... 
 youre doing it w",What seems to be the old ðŸ‡ºðŸ‡¸ and maybe another galaxy?,positive,NA,NA
"  ""Everyone has control over their data"" .. biggest joke of the day! ",Singapore,positive,1.2904753,103.8520359
"  More lies by  say one thing, do another. Just another day at the office then.  ",Australia,negative,-24.7761086,134.755
  Ferocious felon: Hangry bear breaks into car &amp; locks itself inside (VIDEO)   ,CLASSIFIED,negative,22.2763919,114.1681234
"  

Facebook Moves 1.5 Billion Users' Data Out Of Ireland To Circumvent New Privacy Law ",Heartland of USA,negative,33.97167705,-117.57140638328
"  How to Delete Facebook Accounts - &gt;  
",London,negative,51.5073219,-0.1276474
   Same reasons for me to   - privacy. I refuse to support companies that dont care about people - they only care about their revenue.,"Manila, Philippines",negative,14.5906216,120.9799696
"

Facebook Moves 1.5 Billion Users' Data Out Of Ireland To Circumvent New Privacy Law           

",Skype+Email dj2015@outlook.com,negative,NA,NA
"   and go to  

 ",Nederland,negative,52.2379891,5.53460738161551
Facebook moves 1.5 billion users away from new EU privacy protections  via  ,"Joliet, IL",negative,41.5263603,-88.0840212
  Deleting your  account wont keep it from tracking you: The  ,~â€¢ en Camino â€¢~,negative,4.3685491,97.0253024
"How to Delete Facebook Accounts - &gt;  
",Canada,negative,61.0666922,-107.9917071
"  WOW just heard Rep. Larry Bucshon ask ABOUT talking on phone &amp; THEN things/adds showing up ON  hours LATER, have heard","Lewisville, Texas 75077",positive,33.046233,-96.994174
The  Ultimatum. Accept Peter Thiels terms or     ,ðŸŒ�,positive,NA,NA
"Be aware!  has auto-enrolled users into a facial recognition test in Europe - Also not offering a voluntary opt-in to users who find themselves in its facial recognition test.  

",home/Anis,negative,NA,NA
"  Facebook Moves 1.5 Billion Users' Data Out Of Europe To Circumvent New Privacy Law

 ",Mexico,negative,19.4326009,-99.1333416
"Exclusive: Facebook to put 1.5 billion users out of reach of new EU... 
 youre doing it wrong. ","Munich, Bavaria",negative,48.13068805,11.5459388443369
  Seriously? I am amazed that anyone is still using that garbage..!! Will the last one still using that rubbish please tu,Aceh Utara,positive,4.99119405,97.1587368058996
  Im leaving Facebook.   ,Michigan,negative,43.6211955,-84.6824346
 has auto-enrolled users into a  test in     from your life.  ,"Houston, Texas",negative,29.7589382,-95.3676974
Seriously? I am amazed that anyone is still using that garbage..!! Will the last one still using that rubbish please turn off the lights on their way out..!!  ,U.K.,positive,54.7023545,-3.2765753
"  
 Censors Picture of Jesus as Shocking, Sensational, or Violent..
 rejected an ad from a Ca",U.S.A.,negative,19.5584043,-99.0277414
"  Top-10  Functions 
  Escalation &amp; Crisis Communications 
Get an    today   ",Chenna,negative,7.1314381,35.8848637
