tweets,location,category,latitude,longitude
Most Sixes In  History Is  288 !! I Think No One Will Beat That Record..!! It's Pure Entertainment From   !! Hoping U Will Add More In Upcoming Matches..!!    ,I LIVES WHERE HEARTâ�¤ï¸� TAKES ME,positive,NA,NA
  Ro-HITman all way the!!! Captain's knock to lead us to a fabulous win. Much needed boost for us! Look forward to the gam,GUNDERDEHI CHATTISGARH INDIA,positive,NA,NA
  Rohit Sharma joint-second now  ,Saudi Arabia,negative,17.7269134,42.2363448
"  Hum Tumhare hai sanam
 

Thank You   

   ","New Delhi, India",positive,28.6141793,77.2022662
"  Who is best captain ???

Retweet -  

Like -  

     ","Namakkal, India",positive,11.2191692,78.16787
  Dear  Haters!   ,Mumbai (Maharashtra) India,negative,19.1334321,72.8882172
"  Learning from the best: Ishan Kishan with MS Dhoni after the  match.  

Pic courtesy:  ",Alwal,positive,16.4477187,78.0181468
  Latest  points table ,"Bengaluru South, India",negative,-24.8339082,-65.3822399
" Dear Michael, a simple question and requesting for answer.. in this  which team is your favorite and why?? Please answer.",Film City Mumbai,positive,19.161697,72.88678
  I have enjoyed following the  matches! Would love to watch a game at one of the stadiums next. Which stadium has th,"Gola Gokarannath, India",positive,28.0716297,80.4769995
"  Rohit Sharma - 2 fifties and MI won both the games
Virat Kohli - 2 fifties and RCB lost both the games
",Chennai ,positive,13.0801721,80.2838331
"  Retweet - If you're Agree? 

Krunal Pandya
Hardik pandya
Chahal
Ankit Rajpoot 

    ","Madurai South, India",positive,9.9261153,78.1140983
"    

'Rohit Sharma's form is directly proportional to Mumbais fortunes,' Twitterati react to MI's win

h","Coimbatore, India",positive,11.0018115,76.9628425
"
27TH_MaTcH

TarGeT_170
MI_170/2
OvEr_19.4
R Sharma_56*
H Pandya_13*
-
I Tahir:
1-2-1-1--
MI Win By 8 WKTS.
-
""JUNAID_R^F""",#Sindh 03013246368,positive,NA,NA
"Such an opportunistic crook you are  



You cant escape.      ",Where bar & biriyani exists,negative,NA,NA
 Are u also of the opinion that Prithvi Shaw resembles Tendulkar?  ,"Mumbai,Maharashtra",negative,19.1334321,72.8882172
  NEWS ALE: CSK pacer Deepak Chahar has been ruled out of action for at least two weeks with a hamstring injury.  ,Coimbatore,negative,11.0018115,76.9628425
  Shardul Thakur helping Mumbai win this match so that he can board local trains peacefully there  ,India,positive,22.3511148,78.6677428
"  Another close game. The tables are about to turn....no looking back from here 
   ","hyderabad, telangana",negative,17.3886068,78.4608095675926
"  End of powerplay, CSK are 51/1     ","Jashpur, India",negative,22.7702329,83.9680734898871
". you beauty!

        
","Noida, India",positive,28.5726442,77.3547609
"   : Chennai Super Kings beat Royal Challengers Bangalore by 5 wickets.

  ","Jaipur, India",positive,26.916194,75.820349
"  Dear Haters..
   ",Ekkada Badithe akkada ðŸ˜�,positive,NA,NA
   reacts to Mumbai Indians win even as they live to fight another day in   ,"Mumbai, Goa, Pune",positive,NA,NA
"  Now, Mention CSK fans and say nothing..
   ","Pachore, India",negative,NA,NA
"In a special long read,  visits the  and discovers how the IPL has captivated thousands of fans all over India   ",London,positive,51.5073219,-0.1276474
"  Most Man of the Match awards in IPL

20 :Chris Gayle
16 :AB deVilliers
16 :Yusuf Pathan
16 :Rohit Sharma 
15 :David Warn",Mumbai,positive,19.1334321,72.8882172
The latest The sugashwarprashanth Daily!   ,"Chennai, India",negative,13.0801721,80.2838331
"  Man of the Match, who else...it's the skipper  

33 balls 56 runs 6 fours 2 sixes     ","Mumbai, India",negative,19.1334321,72.8882172
"   Watch- AB de Villiers takes wife, son for auto ride in  here's what happened ","New Jersey, USA",negative,40.0757384,-74.4041622
 showing all the  captains who is the real captain of team india.  Leading the ipl table and leaving   and others behind.  ,austin,negative,30.2711286,-97.7436995
"  Most Man of the match in IPL:

20 ~ Gayle
16 ~ ROHIT ( Most by an Indian )
16 ~ ABD
16 ~ Yusuf
15 ~ Warner
14 ~ Raina 
13 ~",Madurai,negative,9.9261153,78.1140983
"  In a special long read,  visits the  and discovers how the IPL has captivated thousands of fans",London ,positive,51.5073219,-0.1276474
Evin Lewis still not back to his best but showing his worth. Evin Lewis' patient knock helps Rohit upset Super Kings ... Read full story here:      ,"Kingston, Jamaica",positive,17.9712148,-76.7928128
"    

MS Dhoni enters top 10, Suryakumar Yadav moves to third on  table

","Kolkata, India",positive,22.5677459,88.3476023
"  

Hope we will continue from here on, says Mumbai Indians captain Rohit Sharma

",New Delhi,positive,28.6141793,77.2022662
  More details:   ,"Guntur, India",negative,16.2915189,80.4541588
  Thanos can live another day. He wont be going up against Thalaiva today.     ,Chennai,negative,13.0801721,80.2838331
The latest The additiyom Daily!  Thanks to     ,Mumbai..mostly,positive,NA,NA
"E Saala Cup Namdhe       
Playing XI


 




 





","Tirupati, India",positive,13.6316368,79.4231711
   good the MI won. Hope RCB will win tomorrow. Makes things more exciting on the points table. Dont want a runaway winner like  in ,Planet Venus,positive,51.4787077,-2.58991355315775
  One Advt in.between  says there is No Sugar in Thumps Up. Its absolutely impossible to make a soda drink tasty witho,chennai,negative,13.0801721,80.2838331
