Funny,Angry,Surprise
humorous,irate,scream
strange,indignant,belly laugh
mirthful,furious,howler
curious,outraged,riot
fishy,angered,sidesplitter
suspicious,Huffy,thigh-slapper
rummy,maddened,awesome
hilarious,irascible,oooh
cute,tempestuous,ooh
fun,choleric,amazing
droll,sore,impress
quirky,smoldering,whoa
hoot,aggravated,gosh
laughing,wild,Hey
enjoyable,ireful,fantastic
gag,wrothful,awe
amused,frustrated,yeah
laughter,irritated,really
Jolly,disgusted,Aww
heck,upset,nice
joker,anger,jeez
kind,dissatisfied,incredible
scream,shocked,whoo
priceless,unruly,unbelievable
uncanny,defiant,holla
entertainer,outrage,Gee
apparently,hate,zowie
sacred,infuriating,whew
spiritual,jumpy,yay
funny-looking,crazy,ouch
goofy,rage,yikes
stupid,galling,great
lighthearted,heated,damn
heartwarming,fiery,terrific
slapstick,annoying,cool
likable,aggressive,pow
snarky,stinging,Gomez
charming,hatred,yes
pretentious,excited,goddamn
annoying,rough,brilliant
sappy,Ired,impressive
Campy,cross,Bravo
bitchy,impatient,hello
deadpan,distraught,okay
obnoxious,anxious,ow
unoffensive,rude,neat
catchy,spiteful,sexy
rude,antsy,Jesus
nerdy,panicky,Woo
cutesy,vehement,howdy
snide,vengeful,alas
laughsome,hateful,God
funny paper,iracund,clare
laugh at,peeved,whoosh
sight gag,furial,super
laugh down,perplexed,swell
stultiloquence,despondent,sweet
socratic irony,discontented,beast
quipper,uneasy,meow
Merry Andrew,bitter,Wah
jestful,apologetic,Michigan
aleger,heartbroken,rel
absurd,unsympathetic,Ben
tristful,wrathy,woof
damn,wrawness,hat
thing,muggard,thanks
way,distrustful,bow
anything,perturbed,Marshall
name,aggrieved,wahoo
bone,sympathetic,cor
papers,bemused,barking
noises,antagonistic,well
smile,dejected,cale
accent,testy,Holy
incident,paranoid,strewth
sounds,infuriate,ruff
kid,crabby,boy
scenes,shirty,man
nose,intemperate,jitter
lot,argumentative,fluctuating
creatures,unneighborly,fluctuation
inside,bestraught,ohh
grin,overemotional,phwoar
guys,earful,Qow
habit,insensitive,uh-oh
cartoons,outspoken,waow
trick,ambivalent,wau
cartoon,apprehensive,woah
tonight,disdainful,dazzle
sketches,uncivil,Aah
caps,carnaptious,braggy
skits,annoyous,Woohoo
commercials,unrepentant,Purdy
bunny,ashamed,lol
gags,maniaphobia,uhh
nicknames,Holy Mother,haha
ads,short temper,Plotz
walking,warence,heck
dude,forstraught,Halle
moustache,bullirag,Bieber
monologue,immorigerous,huh
nobody,Churly,Hott
find,hue and cry,Hrm
smells,madbrain,meh
strike,dismayful,pfft
talks,tiffish,hmph
acts,boistous,Eww
breathing,brutely,kickass
goin,stomachy,umph
really,affear,pshaw
think,vengeable,jonas
seemed,huffish,kinda
thinking,chiack,geez
happen,unrude,Umm
remarked,emboil,raving
works,mumpish,fantabulous
liked,perturbable,dang
forgot,rant,ugh
bother,unpleasant person,srsly
exaggerate,addlebrained,cringe
Goodall,querimony,hmm
why,affrontive,Shutup
merry,got,Jared
agio,grew,Jay Leno
amusant,feeling,nope
are,sounded,kewl
astaire,disappointed,Nicki
belly laugh,gotten,tonite
boner,surprised,mmmm
can,sounding,mazing
chase,flushed,blah
clerihew,bed,Kate Hudson
cos,humiliated,Becky
cutup,stunned,Sagal
different,bored,Sheesh
dreadful,alarmed,eeee
elbow,betrayed,goosebumps
entertainment,amazed,lordy
Fanny,astonished,Madd
funnily enough,insulted,squee
Gracie,baffled,gaga
haha,relieved,Hhh
hobbes,cheated,Blech
howler,terrified,lmfao
